paper_id,category,venue,year,title,doi,paper_url,pdf_url
P17,Responsible ranking & exposure,WWW,2024,Intersectional Two-sided Fairness in Recommendation,10.1145/3589334.3645518,https://dl.acm.org/doi/10.1145/3589334.3645518,https://arxiv.org/pdf/2310.18371.pdf
P18,Responsible ranking & exposure,WWW,2024,Ensuring User-side Fairness in Dynamic Recommender Systems,10.1145/3589334.3645536,https://dl.acm.org/doi/10.1145/3589334.3645536,https://arxiv.org/pdf/2310.15250.pdf
P19,Responsible ranking & exposure,KDD,2024,Performative Debias with Fair-exposure Optimization Driven by Strategic Agents in Recommender Systems,10.1145/3637528.3671786,https://dl.acm.org/doi/10.1145/3637528.3671786,https://arxiv.org/pdf/2402.11637.pdf
P20,Responsible ranking & exposure,KDD,2024,Popularity-Aware Alignment and Contrast for Mitigating Popularity Bias in Recommender System,10.1145/3637528.3671824,https://dl.acm.org/doi/10.1145/3637528.3671824,https://le-wu.com/publication/2024-kdd-paac.pdf
P21,Security & privacy of recommenders,NDSS,2021,Data Poisoning Attacks to Deep Learning Based Recommender Systems,10.14722/ndss.2021.24525,https://www.ndss-symposium.org/ndss-paper/data-poisoning-attacks-to-deep-learning-based-recommender-systems/,
P22,Security & privacy of recommenders,USENIX Security,2023,PORE: Provably Robust Recommender Systems against Data Poisoning Attacks,10.5555/3620237.3620333,https://www.usenix.org/conference/usenixsecurity23/presentation/jia,https://www.usenix.org/system/files/usenixsecurity23-jia.pdf
P23,Security & privacy of recommenders,ACM CCS,2021,Membership Inference Attacks Against Recommender Systems,10.1145/3460120.3484770,https://dl.acm.org/doi/10.1145/3460120.3484770,https://perfecthu.github.io/papers/MIRec_CCS21.pdf
P24,Security & privacy of recommenders,ACM CCS,2021,Reverse Attack: Black-box Attacks on Collaborative Recommendation,10.1145/3460120.3484805,https://dl.acm.org/doi/10.1145/3460120.3484805,https://par.nsf.gov/servlets/purl/10310058
P25,Security & privacy of recommenders,ACM CCS,2021,Black-Box Attacks on Sequential Recommenders via Data Injection,10.1145/3460231.3474275,https://dl.acm.org/doi/10.1145/3460231.3474275,
P26,Security & privacy of recommenders,KDD,2022,Debiasing Learning for Membership Inference Attacks Against Recommender Systems,10.1145/3534678.3539392,https://dl.acm.org/doi/10.1145/3534678.3539392,https://staff.fnwi.uva.nl/m.derijke/wp-content/papercite-data/pdf/wang-2022-debiasing.pdf
P27,Security & privacy of recommenders,WWW,2023,Membership Inference Attacks Against Sequential Recommender Systems,10.1145/3543507.3583447,https://dl.acm.org/doi/10.1145/3543507.3583447,
P28,Security & privacy of recommenders,WWW,2024,Poisoning Federated Recommender Systems with Fake Users,10.1145/3589334.3645492,https://dl.acm.org/doi/10.1145/3589334.3645492,https://par.nsf.gov/servlets/purl/10557936
P29,Security & privacy of recommenders,WWW,2023,Anti-FakeU: Defending Shilling Attacks on Graph Neural Network based Recommender Model,10.1145/3543507.3583289,https://dl.acm.org/doi/10.1145/3543507.3583289,
P30,Decentralization & governance,ICWSM,2023,Exposure to Marginally Abusive Content on Twitter,10.1609/icwsm.v17i1.22123,https://ojs.aaai.org/index.php/ICWSM/article/view/22123,
P31,Moderation & labeling (ACL-family),ACL,2021,HateCheck: Functional Tests for Hate Speech Detection Models,10.18653/v1/2021.acl-long.4,https://aclanthology.org/2021.acl-long.4/,https://aclanthology.org/2021.acl-long.4.pdf
P32,Moderation & labeling (ACL-family),EMNLP,2021,Latent Hatred: A Benchmark for Understanding Implicit Hate Speech,10.18653/v1/2021.emnlp-main.29,https://aclanthology.org/2021.emnlp-main.29/,https://aclanthology.org/2021.emnlp-main.29.pdf
P33,Moderation & labeling (ACL-family),ACL,2022,ToxiGen: A Large-Scale Machine-Generated Dataset for Implicit and Adversarial Hate Speech Detection,10.18653/v1/2022.acl-long.234,https://aclanthology.org/2022.acl-long.234/,https://aclanthology.org/2022.acl-long.234.pdf
P34,Moderation & labeling (ACL-family),NAACL,2022,Counterfactually Augmented Data and Unintended Bias: The Case of Sexism and Hate Speech Detection,10.18653/v1/2022.naacl-main.347,https://aclanthology.org/2022.naacl-main.347/,https://aclanthology.org/2022.naacl-main.347.pdf
P35,Moderation & labeling (ACL-family),NAACL,2022,Annotators with Attitudes: How Annotator Beliefs And Identities Bias Toxic Language Detection,10.18653/v1/2022.naacl-main.431,https://aclanthology.org/2022.naacl-main.431/,https://aclanthology.org/2022.naacl-main.431.pdf
P36,Moderation & labeling (ACL-family),ACL,2022,Your Fairness May Vary: Pretrained Language Model Fairness in Toxic Text Classification,10.18653/v1/2022.findings-acl.176,https://aclanthology.org/2022.findings-acl.176/,https://aclanthology.org/2022.findings-acl.176.pdf
P37,Moderation & labeling (ACL-family),EMNLP,2022,Hate Definitions and Label Bias in Hate Speech Detection,10.18653/v1/2022.emnlp-main.182,https://aclanthology.org/2022.emnlp-main.182/,https://aclanthology.org/2022.emnlp-main.182.pdf
P38,Moderation & labeling (ACL-family),EMNLP,2022,APEACH: A Dataset for Korean Hate Speech Classification,10.18653/v1/2022.findings-emnlp.525,https://aclanthology.org/2022.findings-emnlp.525/,https://aclanthology.org/2022.findings-emnlp.525.pdf
P39,Moderation & labeling (ACL-family),EACL,2023,Multilingual Content Moderation: Developmental Strategies and Challenges,10.18653/v1/2023.eacl-main.167,https://aclanthology.org/2023.eacl-main.167/,https://aclanthology.org/2023.eacl-main.167.pdf
P40,Moderation & labeling (ACL-family),EMNLP,2023,Analyzing Norm Violations in Live-stream Chat,10.18653/v1/2023.emnlp-main.55,https://aclanthology.org/2023.emnlp-main.55/,https://aclanthology.org/2023.emnlp-main.55.pdf
P41,Moderation & labeling (ACL-family),EMNLP,2023,HateModerate: A Novel Dataset and Detection for Harmful Content in Live-Stream Chats,10.18653/v1/2023.emnlp-main.58,https://aclanthology.org/2023.emnlp-main.58/,https://aclanthology.org/2023.emnlp-main.58.pdf
P42,Moderation & labeling (ACL-family),EMNLP,2023,BiasX: Thinking Slow in Toxic Content Moderation with Explanations,10.18653/v1/2023.emnlp-main.300,https://aclanthology.org/2023.emnlp-main.300/,https://aclanthology.org/2023.emnlp-main.300.pdf
P43,Moderation & labeling (ACL-family),EMNLP,2023,ExplainAbuse: Dataset and Methods for Explainable Abuse Detection,10.18653/v1/2023.emnlp-main.393,https://aclanthology.org/2023.emnlp-main.393/,https://aclanthology.org/2023.emnlp-main.393.pdf
P44,Moderation & labeling (ACL-family),EMNLP,2023,Personalized Active Learning for Subjective Tasks,10.18653/v1/2023.emnlp-main.823,https://aclanthology.org/2023.emnlp-main.823/,https://aclanthology.org/2023.emnlp-main.823.pdf
P45,Moderation & labeling (ACL-family),EMNLP,2023,Mitigating Biases in Hate Speech Detection from a Causal Perspective,10.18653/v1/2023.findings-emnlp.440,https://aclanthology.org/2023.findings-emnlp.440/,https://aclanthology.org/2023.findings-emnlp.440.pdf
P46,Moderation & labeling (ACL-family),EMNLP,2024,Eyes Don’t Lie: Subjective Hate Annotation and Detection with Gaze,10.18653/v1/2024.emnlp-main.11,https://aclanthology.org/2024.emnlp-main.11/,https://aclanthology.org/2024.emnlp-main.11.pdf
P47,Moderation & labeling (ACL-family),EMNLP,2024,Does my Name Reveal my Nationality? A Study of Nationality Bias in Names and Perplexity Across 74 Countries and Languages,10.18653/v1/2024.emnlp-main.34,https://aclanthology.org/2024.emnlp-main.34/,https://aclanthology.org/2024.emnlp-main.34.pdf
P48,Moderation & labeling (ACL-family),EMNLP,2024,Toxicity Detection is NOT all you Need: Measuring the Gaps to Supporting Volunteer Content Moderators through a User-Centric Method,10.18653/v1/2024.emnlp-main.209,https://aclanthology.org/2024.emnlp-main.209/,https://aclanthology.org/2024.emnlp-main.209.pdf
P49,Moderation & labeling (ACL-family),EMNLP,2024,Evaluating Robustness of Offensive Language Detection in Chinese: A Systematic Study of Perturbations,10.18653/v1/2024.emnlp-main.345,https://aclanthology.org/2024.emnlp-main.345/,https://aclanthology.org/2024.emnlp-main.345.pdf
P50,Moderation & labeling (ACL-family),EMNLP,2024,Bridging Modalities: Enhancing Cross-Modality Hate Speech Detection with Few-Shot In-Context Learning,10.18653/v1/2024.emnlp-main.445,https://aclanthology.org/2024.emnlp-main.445/,https://aclanthology.org/2024.emnlp-main.445.pdf
P51,Moderation & labeling (ACL-family),EMNLP,2024,Integrating Argumentation and Hate-Speech-based Response Strategies into Misinformation Response Generation,10.18653/v1/2024.emnlp-main.622,https://aclanthology.org/2024.emnlp-main.622/,https://aclanthology.org/2024.emnlp-main.622.pdf
P52,Moderation & labeling (ACL-family),EMNLP,2024,Delving into Qualitative Implications of Synthetic Data for Hate Speech Detection,10.18653/v1/2024.emnlp-main.1099,https://aclanthology.org/2024.emnlp-main.1099/,https://aclanthology.org/2024.emnlp-main.1099.pdf
P53,Moderation & labeling (ACL-family),EMNLP,2024,PREDICT: Multi-Agent-based Debate Simulation for Generalized Hate Speech Detection,10.18653/v1/2024.emnlp-main.1166,https://aclanthology.org/2024.emnlp-main.1166/,https://aclanthology.org/2024.emnlp-main.1166.pdf
P54,Moderation & labeling (ACL-family),ACL,2024,What Do Emojis Have to Do With It? Exploring Bias in Multimodal Toxic Language Models,10.18653/v1/2024.findings-acl.121,https://aclanthology.org/2024.findings-acl.121/,https://aclanthology.org/2024.findings-acl.121.pdf
P55,Moderation & labeling (ACL-family),EMNLP,2024,PclGPT: A Large Language Model for Patronizing and Condescending Language,10.18653/v1/2024.findings-emnlp.406,https://aclanthology.org/2024.findings-emnlp.406/,https://aclanthology.org/2024.findings-emnlp.406.pdf
P56,Moderation & labeling (ACL-family),EMNLP,2024,Collaborative Moderation: Lessons from Volunteer Content Moderators,10.18653/v1/2024.findings-emnlp.535,https://aclanthology.org/2024.findings-emnlp.535/,https://aclanthology.org/2024.findings-emnlp.535.pdf
P57,Moderation & labeling (ACL-family),EMNLP,2024,Toxicraft: A Framework for Synthetic Toxic Content Generation,10.18653/v1/2024.findings-emnlp.970,https://aclanthology.org/2024.findings-emnlp.970/,https://aclanthology.org/2024.findings-emnlp.970.pdf
P58,Moderation & labeling (ACL-family),EMNLP,2024,Ethical Issues in Hate Speech Data Annotation: An Empirical Study,10.18653/v1/2024.findings-emnlp.1217,https://aclanthology.org/2024.findings-emnlp.1217/,https://aclanthology.org/2024.findings-emnlp.1217.pdf
P59,Moderation & labeling (ACL-family),EMNLP,2024,Evaluating Cultural Differences in Hate Speech Detection,10.18653/v1/2024.findings-emnlp.1251,https://aclanthology.org/2024.findings-emnlp.1251/,https://aclanthology.org/2024.findings-emnlp.1251.pdf
P60,Moderation & labeling (ACL-family),EMNLP,2024,Do Large Language Models Detect Hate Speech?,10.18653/v1/2024.findings-emnlp.1378,https://aclanthology.org/2024.findings-emnlp.1378/,https://aclanthology.org/2024.findings-emnlp.1378.pdf
