starterpack_uri,creator_did,name,description,collected_at_utc
at://did:plc:2flxuayvffkbjjnptjtm5txp/app.bsky.graph.starterpack/3mcivnifcnj2h,did:plc:2flxuayvffkbjjnptjtm5txp,The WORLD will not bow to Trump!,,2026-02-06T00:16:43Z
at://did:plc:2xajl5drezicv42kx5ex3tde/app.bsky.graph.starterpack/3lazdrczmje2d,did:plc:2xajl5drezicv42kx5ex3tde,Democratic Wins Media Starter Pack,A feed of the people you need to hear from for Democrats to win,2026-02-06T00:16:51Z
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3lgoj3unpzx2h,did:plc:32kt7lsk5pgcjkmtptu6sfyc,Women's Words and Wisdom,Women speak,2026-02-06T00:16:41Z
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3lippzoydbq2f,did:plc:32kt7lsk5pgcjkmtptu6sfyc,Timeline cleansers,"Beauty, nature, animals, cats, snark and humorous accounts",2026-02-06T00:16:40Z
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3liusd3qyvz2x,did:plc:32kt7lsk5pgcjkmtptu6sfyc,More Women's Wisdom,Women leaders and thinkers who have valuable things to say,2026-02-06T00:16:40Z
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3lk562bzxnd2u,did:plc:32kt7lsk5pgcjkmtptu6sfyc,Science Minds,A collection of credentialed scientists and scholars personally vetted by me and added to this list 1 by 1. We need access to these bright minds.,2026-02-06T00:16:40Z
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3lr2lbcjrd623,did:plc:32kt7lsk5pgcjkmtptu6sfyc,Interesting People,"A collection of artists, bright minds, and those on the path less taken.",2026-02-06T00:16:40Z
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3lraytlzplv23,did:plc:32kt7lsk5pgcjkmtptu6sfyc,Organizations and Officials,"Governmental and Resistance Organizations, Office Holders, and other Official seeming people.",2026-02-06T00:16:40Z
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3m74qmppfs32n,did:plc:32kt7lsk5pgcjkmtptu6sfyc,Creatives,"Photographers, artists, poets, writers who make Bluesky a better place!",2026-02-06T00:16:39Z
at://did:plc:3jn5p5emz3scadvdk23vr63w/app.bsky.graph.starterpack/3lkr53kjwir2r,did:plc:3jn5p5emz3scadvdk23vr63w,Bahtiyar Yilmaz's Starter Pack,,2026-02-06T00:17:35Z
at://did:plc:57ftbh32ybywj4pr3rq4ocjr/app.bsky.graph.starterpack/3lkr3pz6fgu2j,did:plc:57ftbh32ybywj4pr3rq4ocjr,@‪sgallagher.bsky.social‬'s Starter Pack,,2026-02-06T00:16:42Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3ldobh56l5h2l,did:plc:5l7vlznw2qxlamxizvkf5f4e,Canadian Creatives,"A Starter Pack for Canadian writers, poets, painters, sculptors, musicians, photographers, artists, etc. and any that are passionate about what they create.",2026-02-06T00:16:37Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3ldvpjyl5vv2e,did:plc:5l7vlznw2qxlamxizvkf5f4e,Nova Scotia Starter Pack,"For those people who live in Nova Scotia or who are interested in following life in Canada's Ocean Playground, this Starter Pack is for you!",2026-02-06T00:16:36Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lecdalhv652a,did:plc:5l7vlznw2qxlamxizvkf5f4e,"Mythology, Paganism, and Shamanism Starter Pack","For those who are interested in, or incorporate mythology, paganism, and/or shamanism into their daily life or their writing, music, or art, the Mythology, Paganism, and Shamanism Starter Pack is for you!",2026-02-06T00:16:36Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lewtytz65l2a,did:plc:5l7vlznw2qxlamxizvkf5f4e,Everybody is Somebody Else's Weirdo,"A Starter Pack for those who don't seem to fall into any other Starter Pack. Perhaps you're delightfully weird, crazy like a fox, eccentric, or wear your ""square peg in a round hole"" badge with pride, even when skinny-dipping. Join, laugh, be aloof, whatever, just be you and you will fit right in.",2026-02-06T00:16:36Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lg6murziu72e,did:plc:5l7vlznw2qxlamxizvkf5f4e,Multi-genre Artists and Authors,The Multi-genre Artists and Authors Starter Pack is for those Creatives that write books or create art of various genres or blend themes and elements from two or more different genres in a hybrid presentation. Thanks for your support.,2026-02-06T00:16:36Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lgo56tab552q,did:plc:5l7vlznw2qxlamxizvkf5f4e,Canuck Creatives,"With Canadian Creatives being full, consider ""Canuck Creatives"" Volume 2 of Canadian crafters, writers, poets, painters, sculptors, musicians, thespians, photographers, filmmakers, artists, etc.",2026-02-06T00:16:36Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lhe63amrf32s,did:plc:5l7vlznw2qxlamxizvkf5f4e,Canada and Far North Nordic Network,"The Canada and Far North Nordic Network Starter Pack is to foster cooperation between nations - namely Canada, Greenland/Denmark, Iceland, Finland, and Norway - to enhance protection of the Arctic. 
It's imperative to protect and support the regions resources, biodiversity, and indigenee.",2026-02-06T00:16:35Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lkma6gtpiy2t,did:plc:5l7vlznw2qxlamxizvkf5f4e,Canadians for Carney,"The Canadians for Carney Starter Pack is for those who see Mark Carney as the best person to stand up to Trump and stand for Canadian values. Mark Carney's economic experience and leadership skills are imperative to take us through this most difficult of times. 
ELBOWS UP, CANADA!",2026-02-06T00:16:35Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lmse7id7hm2f,did:plc:5l7vlznw2qxlamxizvkf5f4e,Nova Scotia Starter Pack 2,"For those people who live in Nova Scotia or who are interested in following life in Canada's Ocean Playground, this Starter Pack is for you! Volume 2 welcomes all Mi'kmaq, Bluenosers, Capers, Haligonians, Eekum Seekum's, and all-around Cod-loving folk.",2026-02-06T00:16:35Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lmv6v4vvel2s,did:plc:5l7vlznw2qxlamxizvkf5f4e,New Brunswick Starter Pack,"For those who live in New Brunswick or who are interested in following life in Canada's only officially bilingual province, this Starter Pack is for you!
From fish to forests to the Bay of Fundy, NB truly rocks. Lobster lovers, unite!",2026-02-06T00:16:35Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3ltc6jabn6i26,did:plc:5l7vlznw2qxlamxizvkf5f4e,Bob's Your Uncle,"There you have it. Done. Bob's your uncle. Mission accomplished. You've arrived. We all share in each other's wins and losses. Now, join and say, ""Bob's your uncle."" 
P.S. Bob loves the planet and hates fascists.",2026-02-06T00:16:34Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3ludtpdg4aa2n,did:plc:5l7vlznw2qxlamxizvkf5f4e,Canadians for Colbert Starter Pack,"With Paramount and CBS kissing the One Ring to Fool Them All, let's embrace Stephen Colbert - both in his sense of humour and obvious integrity - coming to Canada to host THE BIGGEST LATE NIGHT SHOW, EVER, IN CANADA, EH!
""Late Night, Eh, with Colbert!""",2026-02-06T00:16:34Z
at://did:plc:5l7vlznw2qxlamxizvkf5f4e/app.bsky.graph.starterpack/3lvtkp6nqym2c,did:plc:5l7vlznw2qxlamxizvkf5f4e,Mboko and McIntosh Fan Starter Pack,"Victoria Mboko and Summer McIntosh are both 18. They hate losing more than they love winning. They're polite and well spoken and inspire young people to pursue their dreams, AND they're both Canadian. 
One ""Loves"" the court, the other loves the water.
We love them both and will always support them!",2026-02-06T00:16:34Z
at://did:plc:6ihguo7mxii2eezf3bkpl4dc/app.bsky.graph.starterpack/3lkxaqn5lkd2u,did:plc:6ihguo7mxii2eezf3bkpl4dc,@‪couch-yeti.bsky.social‬'s Starter Pack,,2026-02-06T00:45:52Z
at://did:plc:6vfuuxxwkhon4dreyz62r66q/app.bsky.graph.starterpack/3lo2ce6mv6s2g,did:plc:6vfuuxxwkhon4dreyz62r66q,Pillars of the #MomSky,"Some of the most important civil society organizations and elected leaders standing up for love, care, diversity, dignity, respect, fairness, safety, and democracy. 

*This list not definitive, it is evolving! There are certainly many orgs and leaders missing, which we will add as we go forward.",2026-02-06T00:16:41Z
at://did:plc:6wotbphkbbtotxdaanjsdzep/app.bsky.graph.starterpack/3lecqghbge62x,did:plc:6wotbphkbbtotxdaanjsdzep,Cool people and accounts that make me smile,All the wonderful accounts that make this site worth visiting.,2026-02-06T00:16:55Z
at://did:plc:7lxh3z26naoque24gblpyvcf/app.bsky.graph.starterpack/3lbhxfy3udj24,did:plc:7lxh3z26naoque24gblpyvcf,Tabletop RPG (TTRPG) Design: Indie and Hobbyists,"This is for folks in the indie and hobbyist TTRPG space! It focuses on system designers, but writers and content creators are welcome as well.",2026-02-06T00:16:37Z
at://did:plc:7lxh3z26naoque24gblpyvcf/app.bsky.graph.starterpack/3lbl2r2rj5z2l,did:plc:7lxh3z26naoque24gblpyvcf,Tabletop RPG (TTRPG) Design: Indie and Hobbyists 2,"This is for more folks in the indie and hobbyist TTRPG space! It focuses on system designers, but writers and content creators are welcome too.",2026-02-06T00:16:37Z
at://did:plc:7lxh3z26naoque24gblpyvcf/app.bsky.graph.starterpack/3lkr3afsiqu2u,did:plc:7lxh3z26naoque24gblpyvcf,Tabletop RPG (TTRPG) Design: Indie and Hobbyists 3,"This is for more folks in the indie and hobbyist TTRPG space! It focuses on system designers, but writers and content creators are welcome too.",2026-02-06T00:16:37Z
at://did:plc:7x2plxctk4aj7vkb74o7clw5/app.bsky.graph.starterpack/3lglrodukq723,did:plc:7x2plxctk4aj7vkb74o7clw5,Politiques,Les engagés de gôche,2026-02-06T00:17:34Z
at://did:plc:7x2plxctk4aj7vkb74o7clw5/app.bsky.graph.starterpack/3lglrsrcy4s2t,did:plc:7x2plxctk4aj7vkb74o7clw5,Pass'Sciences,Hors environnement et astro (listes dissociées),2026-02-06T00:17:34Z
at://did:plc:7x2plxctk4aj7vkb74o7clw5/app.bsky.graph.starterpack/3lglusyqdce2g,did:plc:7x2plxctk4aj7vkb74o7clw5,Vidéastes de divertissement,"Jeux vidéos, JdR, culture pop...
Originaire de Youtube et Twitch",2026-02-06T00:17:33Z
at://did:plc:7x2plxctk4aj7vkb74o7clw5/app.bsky.graph.starterpack/3lglwpniz7k2v,did:plc:7x2plxctk4aj7vkb74o7clw5,Pass'Sciences de l'environnement,"Si tu ne devais t'abonner qu'à une seule de mes listes de recommandation, c'est celle-là. Mais jette un œil aux autres quand même",2026-02-06T00:17:33Z
at://did:plc:7x2plxctk4aj7vkb74o7clw5/app.bsky.graph.starterpack/3lglxyjm3nv2k,did:plc:7x2plxctk4aj7vkb74o7clw5,Pass'Sciences d'Astronomie,Nouveau Programme Odyssée ::),2026-02-06T00:17:33Z
at://did:plc:abmm65vkcwz6rzs3rm2eqeum/app.bsky.graph.starterpack/3lko6sd4ndz2j,did:plc:abmm65vkcwz6rzs3rm2eqeum,Artistes de Montréal | Artists of Montreal,"Regroupement d'artistes qui résident à Montréal ou dans les environs
Group of artists based in or around Montreal",2026-02-06T00:16:42Z
at://did:plc:afeyxcf4y2pp43biklnpf4yb/app.bsky.graph.starterpack/3lb5eqkekju2x,did:plc:afeyxcf4y2pp43biklnpf4yb,VTuber Nobility 👑,"Monarchs, heirs to the throne, aristocrats, and knights of all kinds - this starter pack is meant to highlight virtual creators of high standing, regardless of medium! Not at all limited to European hierarchical structures.",2026-02-06T00:16:53Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3ld3goxqtbb22,did:plc:aijwjbqn7gbcvinombzln2n6,Guardians of Democracy,Major Resisters Everyone Should Follow to Learn How to Preserve Our Democracy and Have Hope.,2026-02-06T00:17:33Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3ld7tsuzrmx23,did:plc:aijwjbqn7gbcvinombzln2n6,We'll Get through this Together,"It's January 22, 2025, and we can not believe who's in power... again.

From small accounts to large accounts, these are the people helping me get through this.",2026-02-06T00:17:32Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lgfxthrqpf2u,did:plc:aijwjbqn7gbcvinombzln2n6,January 22 Guardians of Democracy,"From Small Accounts to Large Accounts, these are the people helping me get through the next few years.",2026-02-06T00:17:32Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lgkjb2cknv2l,did:plc:aijwjbqn7gbcvinombzln2n6,Good Trouble,"If we have learned little more this past week, it should be how much more we need each other.

Advocates for Special Needs and Immigration, Journalists, Podcasters, Bloggers, and Activists.

Another collection of accounts ranging from large to small who are getting into good trouble.",2026-02-06T00:17:32Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lhprfs66nc2t,did:plc:aijwjbqn7gbcvinombzln2n6,🪷CherylBlueWave🪷,"🪷People Making a Difference

Volume 1",2026-02-06T00:17:32Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lhue2nsuve2l,did:plc:aijwjbqn7gbcvinombzln2n6,🦋CherylBlueWave🦋,"People Making a Difference

Vol. 2",2026-02-06T00:17:31Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lis7qqvcrq2c,did:plc:aijwjbqn7gbcvinombzln2n6,"Small Accounts 200- 2,500 Followers",We Rise by Lifting Others,2026-02-06T00:17:31Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lj4zsxc6h42r,did:plc:aijwjbqn7gbcvinombzln2n6,People Making a Difference Vol 3.,"🏳️‍⚧️🏳️‍🌈🇺🇦CherylBlueWave🇺🇦🏳️‍🌈🏳️‍⚧️

A mix of small and large accounts.",2026-02-06T00:17:31Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lkr2rk5jiu23,did:plc:aijwjbqn7gbcvinombzln2n6,Amazing People Who Lift Each Other Up,"@CherylBlueWave
The people in this Starter Pack motivate us to continue fighting for our rights and restore our Democracy.",2026-02-06T00:17:31Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lnvmamxfxq2r,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave We are the Storm,CherylBlueWave,2026-02-06T00:17:31Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3loordotk342l,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave People Who Bring Us Together,"CherylBlueWave

People Who Bring Us Together
Building Our Community with Starter Packs",2026-02-06T00:17:30Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lorh3dn7m52n,did:plc:aijwjbqn7gbcvinombzln2n6,@CherylBlueWave  Small Accounts 100-2000 Followers,"@CherylBlueWave

Small Accounts, most have fewer than 500 followers, many have fewer Than 1K followers",2026-02-06T00:17:30Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lustsjv3ge2f,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave  Against Alligator Alcatraz,"CherylBlueWave

Close Alligator Alcatraz",2026-02-06T00:17:30Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lvcvnunjbh2z,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave No Kings,,2026-02-06T00:17:30Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lwr4lrltwk2t,did:plc:aijwjbqn7gbcvinombzln2n6,CheryBlueWave: Keepers of the Flame,"Keepers of the Flame

People Who Stand Strong and True",2026-02-06T00:17:30Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lx6o45aomq2t,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave: Small Accounts,"Accounts with Fewer than 2K followers.

Many Have Fewer than 1K followers",2026-02-06T00:17:30Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lxq3tmmunx2d,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave: People Who Bring Us Together Vol 2,,2026-02-06T00:17:29Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lybo36nx622v,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave: Sundaes & Birthday Cake,"Thank you for joining me on this  journey with ups and downs.

Through it all, we've persisted.",2026-02-06T00:17:29Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3lzosfu3gb62e,did:plc:aijwjbqn7gbcvinombzln2n6,Guardians of Tomorrow #1,"We believe Health Care is a Human Right and Love is Love.

We want a better world for our children and our children's children.

To save these things, we need to have the courage to #ShutItDown",2026-02-06T00:17:29Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3m3nzlllrjq2e,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave No Kings 2,Incredible people who know how to preserve democracy and live life to the fullest.,2026-02-06T00:17:29Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3m4f6rolkoz2r,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave: Fund Snap & Save Healthcare,"Trump will be ending SNAP benefits right before Thanksgiving and the Winter Holiday Season.

He's even refused to use contingency funds to cover November SNAP benefits.",2026-02-06T00:17:28Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3m4giaydmuu23,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave No Kings 3,"The self-named King, while basically saying, ""Let them eat cake,"" taking away money for food  and laying people off by the tens of thousands.",2026-02-06T00:17:28Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3m5gq3j2yzz2s,did:plc:aijwjbqn7gbcvinombzln2n6,CherylBlueWave: Don't Stop Believing,"When the skies are a little darker, remember your friends; the ones who've walked beside you, shared  pet pictures with you, and are there for you rain or shine.",2026-02-06T00:17:28Z
at://did:plc:aijwjbqn7gbcvinombzln2n6/app.bsky.graph.starterpack/3mbudyy2koj2r,did:plc:aijwjbqn7gbcvinombzln2n6,Cheryl🌊 2026 Year for a BlueWave in Congress,"We have an unprecedented opportunity to take back the House.

The people in this pack are loyal friends, incredible people, and stalwart believers in our democracy

This is our year!",2026-02-06T00:17:28Z
at://did:plc:b457xtdpepvts4asxy2jhs2q/app.bsky.graph.starterpack/3ldln2v2kdg2k,did:plc:b457xtdpepvts4asxy2jhs2q,test,test,2026-02-06T00:17:34Z
at://did:plc:b457xtdpepvts4asxy2jhs2q/app.bsky.graph.starterpack/3lf6hqo3pvd2i,did:plc:b457xtdpepvts4asxy2jhs2q,HSC Member Starter Pack,Follow human services nonprofits and advocates across New York State,2026-02-06T00:17:34Z
at://did:plc:bvq5vsdzswpjuiywpgzxoj4o/app.bsky.graph.starterpack/3lfs7l35c5n2y,did:plc:bvq5vsdzswpjuiywpgzxoj4o,🌹CosmicRose✨'s VETTED Starter Pack,"These accounts are Good to go.
Please Follow ALL then ✨#SparkleON✨",2026-02-06T00:16:55Z
at://did:plc:bvq5vsdzswpjuiywpgzxoj4o/app.bsky.graph.starterpack/3lkido4kdjp2o,did:plc:bvq5vsdzswpjuiywpgzxoj4o,🌹CosmicRose's #AURORA Starter Pack💜,"Starter Pack for #AURORA watchers/photogs 
and #Astrophotographers.
Let's follow each other and Share the Natural Beauty
of the Auroras and our Universe. 

💜""Let the Beauty you LOVE, BE what You DO.""🌹",2026-02-06T00:16:54Z
at://did:plc:bvq5vsdzswpjuiywpgzxoj4o/app.bsky.graph.starterpack/3lmwifvi7sm25,did:plc:bvq5vsdzswpjuiywpgzxoj4o,🌹CosmicRose💜's Starter Pack of ✨Sparklers✨,"A ✨SparkleON✨ Starter PACK of Sparklers
On Bsky ~ Everyone Follow Each Other💜🌹",2026-02-06T00:16:54Z
at://did:plc:cg3uf43becdeeqapjrbd3syu/app.bsky.graph.starterpack/3lbxb4cyjth2m,did:plc:cg3uf43becdeeqapjrbd3syu,ODPs on BlueSky,"Operating Department Practitioners - the most rewarding job that you've never heard of. Find out what they do by following these people!

Contact me to be added.",2026-02-06T00:17:27Z
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljlk4272z42a,did:plc:e5y74ehsyym65lxx2s5xkmla,Iowa,List of iowa posters,2026-02-06T00:16:34Z
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljnxjuwkua2f,did:plc:e5y74ehsyym65lxx2s5xkmla,Iowa 2,List of posters that live in Iowa.,2026-02-06T00:16:33Z
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3lk2uj3kjye2u,did:plc:e5y74ehsyym65lxx2s5xkmla,Iowa 3,People in iowa.  If you want in @ me “add me to Iowa “ and say what city or area you’re from. Please first check that you aren’t already in the first 2 packs. Let me know if ive accidentally listed you twice or if you do not live in Iowa.,2026-02-06T00:16:33Z
at://did:plc:fm5ae2huzo25llwmny5sv2pe/app.bsky.graph.starterpack/3lkr3nbvjkw2q,did:plc:fm5ae2huzo25llwmny5sv2pe,@‪zinnkortenchomsky.bsky.…'s Starter Pack,,2026-02-06T00:16:42Z
at://did:plc:jvb5sfyofkdzgt53dvqgr45r/app.bsky.graph.starterpack/3ljzobsptww2l,did:plc:jvb5sfyofkdzgt53dvqgr45r,Archival Resources,Accounts and Websites that work toward archiving climate data and education,2026-02-06T00:17:28Z
at://did:plc:k33vfygdmtjwqjqekcdgujbj/app.bsky.graph.starterpack/3mch6wn2wom2n,did:plc:k33vfygdmtjwqjqekcdgujbj,favorite artists,"i follow a lot of artists on here, and these are my favorites. you should follow them, too! heads up for nsfw",2026-02-06T00:16:55Z
